societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_SALARI,Salari,CATEGORIA,,670101,
INTUR,USCITE_SALARI,F24 (ritenute dipendenti),CATEGORIA,,350301,
INTUR,USCITE_SALARI,F24 (ritenute professionisti),CATEGORIA,,350305,
INTUR,USCITE_SALARI,F24 (INPS),CATEGORIA,,370101,
INTUR,USCITE_SALARI,F24 (INAIL),CATEGORIA,,370105,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_UTENZE (INTUR)
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_UTENZE,Energia elettrica,CATEGORIA,,570913,
INTUR,USCITE_UTENZE,Gas,CATEGORIA,,570919,
INTUR,USCITE_UTENZE,Ausino - rateizzo,FORNITORE,18,,AUSINO - S.P.A. SERVIZI IDRICI INTEGRATI
INTUR,USCITE_UTENZE,Vodafone (da ribaltare),FORNITORE,44,,VODAFONE ITALIA S.p.A.
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_MATERIE_PRIME (INTUR)
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_MATERIE_PRIME,Amalfi sei esse,FORNITORE,92,,AMALFI SEI ESSE S.R.L.
INTUR,USCITE_MATERIE_PRIME,B&G Di Palo,FORNITORE,916,,ALLESTIMENTI DI PAOLO DI DI PAOLO P. & C. SAS
INTUR,USCITE_MATERIE_PRIME,Casa Vinicola Sammarco,FORNITORE,208,,CASA VINICOLA ETTORE SAMMARCO - S.N.C.
INTUR,USCITE_MATERIE_PRIME,CoIrEs SRL,FORNITORE,,TODO,TODO_NON_TROVATO_IN_ESOLVER
INTUR,USCITE_MATERIE_PRIME,Creative Idea Snc,FORNITORE,369,,CREATIVE IDEA S.N.C. DI DE MARTINO DIODATO & C.
INTUR,USCITE_MATERIE_PRIME,De Riso,FORNITORE,138,,SAL DE RISO COSTA D AMALFI S.R.L.
INTUR,USCITE_MATERIE_PRIME,EURO GROUP NETWORK S.R.L.,FORNITORE,1033,,EURO GROUP NETWORK S.R.L.
INTUR,USCITE_MATERIE_PRIME,Foraggio Srl,FORNITORE,499,,Foraggio S.r.l.
